experiment,graph_type,label,nodes,edges,k,k_bfs_diameter,k_bfs_time,k_bfs_pre_time,k_bfs_search_time,k_bfs_bfs_passes,k_bfs_vertex_visits,k_bfs_edge_checks,k_bfs_peak_mb,tk_diameter,tk_time,tk_pre_time,tk_search_time,tk_bfs_passes,tk_vertex_visits,tk_edge_checks,tk_iterations,tk_peak_mb,exact_diameter,k_bfs_abs_error,tk_abs_error,density
core_types,random_sparse,n=50,50,37,2,9,0.00100729099358432,0.00014632998500019312,0.0007917430193629116,2,72,154,0.003143310546875,9,0.0008126279863063246,0.00022455197176896036,0.0004402780323289335,9,207,450,9,0.00244903564453125,9,0,0,0.030204081632653063
core_types,random_sparse,n=100,100,145,2,9,0.002545480994740501,0.00011325499508529902,0.0023496749927289784,2,286,870,0.0062713623046875,9,0.00561298499815166,0.0007191120821516961,0.004540191905107349,25,2375,7250,25,0.0045928955078125,9,0,0,0.029292929292929294
core_types,random_sparse,n=150,150,348,2,6,0.005414184997789562,0.00016027098172344267,0.0051813719619531184,2,494,2282,0.00933074951171875,6,0.04679116900661029,0.002286369912326336,0.043549865833483636,82,12300,57072,82,0.006622314453125,6,0,0,0.031140939597315436
core_types,dense,n=50,50,713,2,2,0.004580946988426149,7.209001341834664e-05,0.004479486029595137,2,153,4344,0.00350189208984375,2,0.03680881200125441,0.0004725292092189193,0.03598540890379809,50,2500,71300,50,0.0025634765625,2,0,0,0.5820408163265306
core_types,dense,n=100,100,2949,2,2,0.018511689006118104,8.434499613940716e-05,0.01839083500090055,2,306,17986,0.00650787353515625,2,0.3322250549972523,0.0013423931377474219,0.33005393619532697,100,10000,589800,100,0.0045928955078125,2,0,0,0.5957575757575757
core_types,dense,n=150,150,6775,2,2,0.04181480800616555,0.00011152701335959136,0.04164923800271936,2,452,40739,0.00960540771484375,2,1.1861859910131898,0.0026741461479105055,1.1819979719584808,150,22500,2032500,150,0.006622314453125,2,0,0,0.6062639821029083
core_types,small_world,n=50,50,100,2,8,0.0008700639882590622,7.435900624841452e-05,0.0007674910011701286,2,187,747,0.00331878662109375,8,0.0007871680136304349,0.0001411679550074041,0.0005549239867832512,13,650,2600,13,0.00247955322265625,8,0,0,0.08163265306122448
core_types,small_world,n=100,100,200,2,12,0.0016833749832585454,6.141397170722485e-05,0.0015925720217637718,2,322,1290,0.00601959228515625,12,0.0033831770124379545,0.00028431107057258487,0.0029621469730045646,18,1800,7200,18,0.0045928955078125,12,0,0,0.04040404040404041
core_types,small_world,n=150,150,300,2,11,0.0031697999802418053,5.7604978792369366e-05,0.0030695780005771667,2,566,2262,0.00902557373046875,12,0.009506878006504849,0.0005801709485240281,0.008687396999448538,28,4200,16800,28,0.0061187744140625,12,1,0,0.026845637583892617
core_types,scale_free,n=50,50,97,2,5,0.0005245950014796108,5.0969014409929514e-05,0.00045055299415253103,2,156,590,0.00344085693359375,5,0.000612456991802901,0.00011073003406636417,0.0004324209876358509,10,500,1940,10,0.00247955322265625,5,0,0,0.07918367346938776
core_types,scale_free,n=100,100,197,2,5,0.0013118119968567044,4.573300248011947e-05,0.001235149014974013,2,295,1150,0.00638580322265625,6,0.0011528320028446615,0.00010638096136972308,0.000990936008747667,6,600,2364,6,0.0045928955078125,6,1,0,0.0397979797979798
core_types,scale_free,n=150,150,297,2,5,0.002287929004523903,5.4834032198414207e-05,0.0021961049642413855,2,449,1741,0.00933074951171875,6,0.021948135981801897,0.0012554832792375237,0.020156515878625214,65,9750,38610,65,0.006622314453125,6,1,0,0.02657718120805369
core_types,tree,n=50,50,49,2,13,0.0006170570268295705,4.7782028559595346e-05,0.000546581984963268,2,200,392,0.00328826904296875,13,0.0004631360061466694,9.149906691163778e-05,0.00031809398205950856,8,400,784,8,0.00247955322265625,13,0,0,0.04
core_types,tree,n=100,100,99,2,13,0.0008254730200860649,4.656100645661354e-05,0.0007511530129704624,2,273,538,0.00601959228515625,13,0.0003162119828630239,5.993296508677304e-05,0.00022856798022985458,3,300,594,3,0.0044708251953125,13,0,0,0.02
core_types,tree,n=150,150,149,2,17,0.0022821220045443624,5.4236967116594315e-05,0.0021928439964540303,2,600,1192,0.00887298583984375,17,0.005322876997524872,0.0006513401167467237,0.004404861101647839,33,4950,9834,33,0.0061187744140625,17,0,0,0.013333333333333334
size_sweep_sparse,random_sparse,n=50,50,33,2,2,0.00020679100998677313,5.79470070078969e-05,0.00012522799079306424,2,10,12,0.0031890869140625,2,9.399099508300424e-05,4.200602415949106e-05,2.706900704652071e-05,3,9,12,3,0.00241851806640625,9,7,7,0.026938775510204082
size_sweep_sparse,random_sparse,n=100,100,142,2,8,0.0009124870121013373,4.5770982978865504e-05,0.00083832599921152,2,247,751,0.00620269775390625,9,0.0036576249985955656,0.0004815100983250886,0.0029462230450008065,32,3008,9088,32,0.0045928955078125,9,1,0,0.028686868686868688
size_sweep_sparse,random_sparse,n=150,150,350,2,6,0.0028983439842704684,5.669999518431723e-05,0.0028071219858247787,2,501,2358,0.00933074951171875,7,0.011915101000340655,0.0005988031043671072,0.011063656012993306,30,4440,21000,30,0.006622314453125,7,1,0,0.03131991051454139
size_sweep_sparse,random_sparse,n=200,200,597,2,5,0.005043657001806423,6.357397069223225e-05,0.004938238009344786,2,645,3873,0.01233673095703125,6,0.03565570400678553,0.0011928739841096103,0.034019624115899205,49,9751,58506,49,0.008148193359375,6,1,0,0.03
density_sweep,random_sparse,p=0.02,120,147,2,11,0.0015112869732547551,7.156399078667164e-05,0.0014008319994900376,2,366,1021,0.00783538818359375,11,0.0026922339748125523,0.00036394092603586614,0.0021651010029017925,21,2184,6090,21,0.0052032470703125,11,0,0,0.020588235294117647
density_sweep,random_sparse,p=0.05,120,348,2,5,0.0026635050016921014,4.681700374931097e-05,0.002585709997219965,2,398,2303,0.00760650634765625,6,0.007044924015644938,0.00033511407673358917,0.006562010006746277,19,2280,13224,19,0.0052032470703125,6,1,0,0.04873949579831933
density_sweep,random_sparse,p=0.1,120,717,2,3,0.004752009001094848,4.926702240481973e-05,0.0046690299932379276,2,370,4399,0.00772857666015625,3,0.09502682200400159,0.00177365803392604,0.09232139596133493,120,14400,172080,120,0.0052032470703125,3,0,0,0.1004201680672269
