graph_type,k,k_bfs_time,tk_time,k_bfs_abs_error,tk_abs_error
dense,1,0.010512467328226194,0.39582315265821916,0.0,0.0
dense,2,0.015911798662273213,0.4014560793390653,0.0,0.0
dense,4,0.02020046233277147,0.40122817366500385,0.0,0.0
dense,8,0.02232309865454833,0.3993638289975934,0.0,0.0
random_sparse,1,0.0007434573296147088,0.006892695664040123,0.0,0.0
random_sparse,2,0.001297695329412818,0.006949484658737977,0.3333333333333333,0.0
random_sparse,4,0.0029370789998210967,0.006810069006557266,0.0,0.0
random_sparse,8,0.004297796995767082,0.006803748993358265,0.0,0.0
scale_free,1,0.0007000513433013111,0.0069897230035470175,0.6666666666666666,0.0
scale_free,2,0.0011012123432010412,0.007002315668311591,0.3333333333333333,0.0
scale_free,4,0.002336234669201076,0.007043884999196355,0.3333333333333333,0.0
scale_free,8,0.0030926606656673052,0.006981734011787921,0.3333333333333333,0.0
small_world,1,0.000794386665802449,0.002974110005501037,0.6666666666666666,0.0
small_world,2,0.0012160010131386418,0.0030201463281021765,1.0,0.0
small_world,4,0.0035097253373047956,0.002977355664673572,0.0,0.0
small_world,8,0.005689228671447684,0.0029687329952139407,0.0,0.0
tree,1,0.0009224980021826923,0.0010046396734348189,0.0,0.0
tree,2,0.0013981960073579103,0.0010674573422875255,0.0,0.0
tree,4,0.004235045004558439,0.0008069423298972348,0.0,0.0
tree,8,0.006502365994189556,0.0007583726643739889,0.0,0.0
