experiment,graph_type,label,k_bfs_time,tk_time,k_bfs_abs_error,tk_abs_error
bipartite,bipartite,n=100,0.00234148000163259,0.007760324246191885,0.0,0.0
bipartite,bipartite,n=150,0.005137292253493797,0.03967443875444587,0.75,0.0
bipartite,bipartite,n=50,0.0009666999976616353,0.00042355299228802323,0.25,0.0
capacity_distribution,random_sparse,high,0.004249219498888124,0.018122343004506547,0.5,0.0
capacity_distribution,random_sparse,low,0.002854787489923183,0.0013201807523728348,0.0,0.0
capacity_distribution,random_sparse,medium,0.002875130739994347,0.00605011849256698,0.75,0.0
core_types,dense,n=100,0.01510184624203248,0.26832134549476905,0.0,0.0
core_types,dense,n=150,0.03289461149688577,0.9005848832530319,0.0,0.0
core_types,dense,n=50,0.003714412494446151,0.029497197247110307,0.0,0.0
core_types,random_sparse,n=100,0.002165146746847313,0.0012343090056674555,0.25,0.0
core_types,random_sparse,n=150,0.004064992746862117,0.018918260240752716,0.0,0.0
core_types,random_sparse,n=50,0.0007268819972523488,0.0004394294956000522,0.0,0.0
core_types,scale_free,n=100,0.0018266722618136555,0.006862146248749923,0.0,0.0
core_types,scale_free,n=150,0.0028666365033132024,0.01321390151133528,0.5,0.0
core_types,scale_free,n=50,0.0007293105009011924,0.0009371955020469613,0.75,0.0
core_types,small_world,n=100,0.002694570255698636,0.0030297080011223443,0.75,0.0
core_types,small_world,n=150,0.004488692749873735,0.0054492389972438104,0.5,0.0
core_types,small_world,n=50,0.001223743260197807,0.0004763117467518896,0.0,0.0
core_types,tree,n=100,0.004728755011456087,0.0008083612556220032,0.0,0.0
core_types,tree,n=150,0.003938988003937993,0.0017018365106196143,0.0,0.0
core_types,tree,n=50,0.0011258357408223674,0.00021786124125355855,0.0,0.0
density_sweep,random_sparse,p=0.02,0.002327396003238391,0.0018604610013426282,0.25,0.0
density_sweep,random_sparse,p=0.05,0.0030271369905676693,0.006757954251952469,0.25,0.0
density_sweep,random_sparse,p=0.1,0.004282826499547809,0.0738709612560342,0.0,0.0
density_sweep,random_sparse,p=0.2,0.0071355452528223395,0.022198900507646613,0.25,0.0
grid,grid,10x10,0.003586838996852748,0.000736449750547763,0.0,0.0
grid,grid,15x15,0.010516838243347593,0.0016523472440894693,0.0,0.0
grid,grid,20x20,0.02981304549757624,0.006752955996489618,0.0,0.0
size_sweep_sparse,random_sparse,n=100,0.002043464257440064,0.0011009415029548109,0.5,0.0
size_sweep_sparse,random_sparse,n=150,0.0034650914967642166,0.011138129491882864,0.25,0.0
size_sweep_sparse,random_sparse,n=200,0.005582370489719324,0.03548056726140203,0.25,0.0
size_sweep_sparse,random_sparse,n=50,0.0005594309986918233,0.0004972977476427332,0.0,0.0
