graph,type,nodes,edges,k,k_bfs_diameter,k_bfs_time,tk_diameter,tk_time
tree_100,tree,100,99,5,12,0.0005523459985852242,12,0.0005096429958939552
path_100,path,100,99,5,99,0.0018790829926729202,99,0.00011080596596002579
small100,random_sparse,100,778,5,4,0.0008337949984706938,4,0.0018625169759616256
large500,random_sparse,500,498,5,6,0.0018541060271672904,6,0.038497400004416704
holy,random_sparse,50,319,5,3,0.000498417008202523,3,0.0014996170066297054
adjnoun_graph,random_sparse,55,103,5,8,0.0005362560041248798,8,0.0006144950166344643
C125.9,dense,125,6963,5,2,0.002554349950514734,2,0.0490218439954333
DSJC500_5,dense,500,62624,5,2,0.02648788900114596,2,1.3805045710178092
brock200_2,dense,200,9876,5,2,0.003584803023841232,2,0.09799588000169024
MANN_a9,dense,45,918,5,2,0.00044056400656700134,2,0.002928435045760125
karate,small_world,19,34,5,5,0.00016110995784401894,5,8.03039874881506e-05
dolphin,small_world,38,54,5,7,0.00028057402232661843,7,0.00011592602822929621
facebook_combined,small_world,4039,88234,5,8,0.043821837985888124,8,0.5056803909828886
facebook_combined,scale_free,4039,88234,5,8,0.043414312007371336,8,0.5242682530079037
